song,album,lyrics
over-my-dead-body,take-care,"How I'm feeling, it doesn't matter Cause you know I'm okay And still, I ask myself, ""Why do you worry?"" When you know I'm the same I know, I know you don't love me, baby They're trying to take you away from me Only over my dead body...I think I killed everybody in the game last year, man Fuck it, I was on though And I thought I found the girl of my dreams at a strip club Fuck it, I was wrong though Shout out all to all my niggas living tax free Nowadays it's six figures when they tax me Oh well, I guess you lose some and win some Long as the outcome is income You know I want it all and then some Shout out to Asian girls, let the lights dim some Shots came, I don't know where they was sent from Probably some bad hoes I'm 'bout to take the hint from Yeah, you know me well, nigga I mean you ain't the only real nigga They got me on these white women like Seal, nigga Slave to the pussy but I'm just playing the field, nigga Are these people really discussing my career again? Asking if I'll be going platinum in a year again? Don't I got the shit the world wanna hear again? Don't Michael Jordan still got his hoop earring in? Man all of your flows bore me: paint drying And I don't ever be trippin off of what ain't mine And I be hearing the shit you say through the grapevine But jealousy is just love and hate at the same time It's been that way from the beginning I just been playing, I ain't even even notice I was winningAnd this is the only sound you should fearMan, these kids wear crowns over here and everything is alrightHow I'm feeling, it doesn't matter Cause you know I'm okayAnd still, I ask myself, ""Why do you worry?"" When you know I'm the sameI know, I know you don't love me, babyThey're trying to take you away from me Only over my dead body...You say I'm old news, well who the new star? Cause if I'm going anywhere, it's probably too far Just performed at a Bar Mitzvah over in the States Used half of the money to beat my brother's case Red wine over Fed time And shout out to the niggas that's doing dead time Shout out to the bitches there when it's bedtime And fuck you to the niggas that think it's their time Yeah, don't make me take your life apart, boy You and whoever the fuck gave you your start boy Oh, you wanna be a motherfucking funny guy? Don't make me break your Kevin Hart, boy Yeah, it's whatever. You know, feeling good, living better I think maybe I was numb to it last year But you know I feel it now more than ever My city love me like Mac Dre in the Bay Second album, I'm back paving the way The backpackers are back on the bandwagon Like this was my comeback season back, back in the dayAnd I met your baby moms last night We took a picture together, I hope she frames it! And I was drinking at the Palms last night And ended up losing everything that I came withFeel like I've been here before, huh?I still got 10 years to go, huh?And this is the only sound you should fear Man, these kids wear crowns over here and everything is all right How I'm feeling, it doesn't matter Cause you know I'm okay And still, I ask myself, ""Why do you worry?"" When you know I'm the same I know, I know you don't love me, baby They're trying to take you away from me Only over my dead body..."
shot-for-me,take-care,"I can see it in your eyes, you're angry Regret got shit on what you're feeling now Mad cause he ain't like me Oh you mad cause nobody ever did it like me All the care I would take, all the love that we made Now you're trying to find somebody to replace what I gave to you It's a shame you didn't keep it: Alisha, Catya I know that you gon hear this I'm the man Yeah I said it! Bitch I'm the man Don't you forget it The way you walk, that's me The way you talk, that's me The way you've got your hair up, did you forget that's me? And the voice in the speaker right now, that's me, that's me And the voice in your ear, that's me Can't you see that I made it? Yeah I made it First I made you who you are, then I made itAnd you're wasted with your ladiesYeah I'm the reason why you always getting fadedTake a shot for me (hooooooo-ooooooh) Take a shot for me (hooooooo-ooooooh) Take a shot for me (aha-aha-aha-aha-aha-aha) A shot for me (aha-aha-aha-aha-aha-aha)(Yeah) a shot for meOkay look, I'm honest Girl I can't lie, I miss you You and the music were the only things that I commit to I never cheated, for the record, back when I was with you But you believe in everything but me girl, I don't get you She says I know you changed, I never see you Cause you're always busy doing thingsI really wish she had a different way of viewing things I think the city that we're from just kinda ruined things It's such a small place: not much to do but talk and listen The men are jealous and the women all in competition And now your friends telling you stories that you often misinterpret And taint all your images of ""Mr. Perfect"" I could tell that you been crying all night, drinking all summer Praying for your happiness, hope that you recover, ah This is one I know you hated when you heard it And it's worse because you know that I deserve itTake a shot for me (hooooooo-ooooooh) Take a shot for me (hooooooo-ooooooh) Take a shot for me (aha-aha-aha-aha-aha-aha) A shot for me (aha-aha-aha-aha-aha-aha) A shot for meYeah May your neighbors respect you Trouble neglect you, angels protect you And heaven accept you"
headlines,take-care,"I might be too strung out on compliments, overdosed on confidence Started not to give a fuck and stop fearin' the consequence Drinkin' every night, because we drink to my accomplishments Faded way too long I'm floatin' in and out on consciousness And they say that I'm back, I'd agree with that I just take my time wit all this shit, I still believe in that I had someone tell me I fell off, ooh, I needed that And they wanna see me pick back up, well, where'd I leave it at?I know I exaggerated things, now I got it like that Tuck my napkin in my shirt, 'cause I'm just mobbin' like that You know good and well that you don't wanna problem like that You gon' make someone around me catch a body like thatNo, don't do it Please don't do it 'Cause one of us goes in and we all go through it And Drizzy got the money So Drizzy gon' pay it Those my brothers, I ain't even gotta say it That's just somethin' they knowThey know, they know, they know They know, they know, they know They know, they know, they know Yeah, they knowYeah, that the real is on the rise Fuck them other guys I even gave 'em a chance to decide Now it's somethin' they know They know, they know, they know YeahI be yellin' out Money over everything Money on my mind Then she wanna ask when it got so empty Tell her I apologize, happened over time She says they missed the old Drake Girl, don't tempt me If they don't get it, they'll be over you That new shit that you got is... overdue You better do what you supposed to do I'm like, why I gotta be all that? But still I can't deny the fact that it's... trueListen to you expressin' all them feelin's Soap opera rappers All these niggas sound like All My Children And that's how you thinkin' is about to come and make a killin' I guess it really is just me, myself, and all my millionsYou know that they ain't even got it like that You gon' hype me up and make me catch a body like that 'Cause I live for this It isn't just a hobby like that When they get my shit and play it I don't even gotta say it They knowThey know, they know, they know They know, they know, they know They know, they know, they know Yeah, they knowYeah, that the real is on the rise Fuck them other guys I even gave 'em a chance to decide Now it's somethin' they know They know, they know, they know I be yellin' out Money over everything Money on my mind (mind mind mind) Tell 'em I apologize It happened over time (time time time)"
crew-love,take-care,"Take your nose off my keyboard What you bothering me for? There's a room full of niggas What you following me for?This ain't no fucking sing-along So girl, what you singing for? It's cause we blowing like a C4 Got my whole crew blowing like a C420, keep the bar rolling Fake IDs and the trash we going Straight to the top, rooftop glows With a handful of girls and they all so foreignRain so poisoned, rainbows flowing Light-skinned chick, first flight from Poland A whole lot of friends, first flight from Poland A whole lot of girls, first flight from Poland Why? 'CauseThey loving the crew They loving the crew They loving the crew They loving the crew They loving the crewThey loving the crew They loving the crew They loving the crew ohhhhSmoking weed under star projectors I guess we'll never know what Harvard gets us But seeing my family have it all Took the place of that desire for diplomas on the wallAnd really I think I like who I'm becoming There's times where I might do it just to do it like it's nothing There's times when I might blow like 50K on a vacation For all my soldiers just to see the looks on all they faces, all it took was patienceI got a lot of friends to come up off the strip for me The same ones that'll come up off the hip for me The realest niggas say your lyrics do shit for me I told my story, then made historyTell them imma need reservations for 20 I've never really been one for the preservation of money, nah I'd much rather spend it all while I'm breathing That OVO and XO is everything you believe in, I know They loving the crewThey loving the crew They loving the crew They loving the crew They loving the crew They loving the crew They loving the crew They loving the crew Cause we blowing like a C4 Got my whole crew blowing like a C4 If you broadcast swag, nigga we the news in the city"
take-care,take-care,"I know you've been hurt by someone else I can tell by the way you carry yourself If you let me, here's what I'll do I'll take care of you I've loved and I've lostI've asked about you and they told me things But my mind didn't change and I still feel the same What's a life with no fun? Please, don't be so ashamed I've had mine, you've had yours, we both know. we know They won't get you like I will My only wish is I die real Cause that truth hurts and those lies heal And you can't sleep thinking that he lies still So you cry still, tears all on the pillowcase Big girls all get a little taste Pushing me away so I give her space Dealing with a heart that I didn't break I be there for you, I will care for you I keep thinking you just don't know Tryna run from that, say you done with that On your face, girl, it just don't show When you're ready, just say you're ready When all the baggage just ain't as heavy And the party's over, just don't forget me We'll change the pace and we'll just go slow You won't ever have to worry, you won't ever have to hide You've seen all my mistakes so look me in my eyesI know you've been hurt by someone else I can tell by the way you carry yourself If you let me, here's what I'll do I'll take care of you I've loved and I've lostIt's my birthday, I'll get high if I want to Can't deny that I want you but I'll lie if I have to Cause you don't say you love me to your friends when they ask you Even though we both know that you do... you do One time been in love one time You and all your girls in the club one time All so convinced that you're following your heart Cause your mind don't control what it does sometimes We all have our nights, though, don't be so ashamed I've had mine, you've had yours, we both know. we know You hate being alone well you ain't the only one You hate the fact that you bought the dream and they sold you one You love your friends, but somebody should've told you some To save you. instead they say:Don't tell me, I don't care If you hurt, I don't tell you You don't care, if you're trueI know you've been hurt by someone else I can tell by the way you carry yourself If you let me, here's what I'll do I'll take care of you I've loved and I've lost"
marvins-room,take-care,"Hello? Yeah, I just walked in Yeah, I'm good. you still working? Tonight... right now? Did I go out? Yeah, I went out I went. I went to a couple of clubs I never went to bed, shit. wine or water You said something about a cold drink? I don't know, I'm delirious.Cups of the Rosé, bitches in my old phone I should call one and go home, I've been in this club too long The woman that I would try is happy with a good guy But I've been drinking so much that I'mma call her anyway and sayFuck that nigga that you love so bad I know you still think about the times we had I say fuck that nigga that you think you found And since you picked up, I know he's not around(Are you drunk right now?) I'm just saying you could do better Tell me have you heard that lately? I'm just saying you could do better And I'll start hating only if you make meUh, cups of the XO, all my people been here I see all of her friends here guess she don't have the time to kick it no more Flights in the morning, what you doing that's so important? I've been drinking so much that I'mma call you anyway and sayFuck that nigga that you love so bad I know you still think about the times we had I say fuck that nigga that you think you found And since you picked up, I know he's not around(Are you drunk right now?) I'm just saying you could do better Tell me have you heard that lately? I'm just saying you could do better And I'll start hating only if you make meI think I'm addicted to naked pictures And sitting talking 'bout bitches that we almost had I don't think I'm conscious of making Monsters outta the women I sponsor 'til it all goes bad But shit, it's all good We threw a party, yeah, we threw a party Bitches came over, yeah, we threw a party I was just calling cause they were just leaving Talk to me please don't have much to believe in I need you right now, are you down to listen to me? Too many drinks have been given to me I got some women that's living off me Paid for their flights and hotels, I'm ashamed Bet that you know them, I won't say no names After a while, girl, they all seem the same I've had sex four times this week: I'll explain Having a hard time adjusting to fame Sprite in that mixture, I've been talking crazy, girl I'm lucky that you picked up, lucky that you stayed on I need someone to put this weight on, ""Well, I'm sorry""(Are you drunk right now?) I'm just saying you could do better Tell me have you heard that lately? I'm just saying you could do better And I'll start hating only if you make meYou're not going to come? Guess I'm 'bout to just kick it here thenJust throw up while I hold your hair back Her white friend said ""you niggas crazy"" I hope no one heard that, I hope no one heard that Cause if they did, we gonna be in some trouble176 Follow Embed"
under-ground-kings,take-care,"Bridge over troubled water, ice in my muddy water Rich off a mixtape, got rich off a mixtape Probably shouldn't be driving, it just got so much harder Can't even see it straight, I can't even see it straight Oh, fuck with me, I buy the shots Live a little, cause niggas die a lot, and lie a lot But I'm the truth -- that's right, I fucking said it The living proof that you don't gotta die to get to heaven You girl, you right there, you look like you like this shit How'd I know, how'd I know? That's me on some psychic shit I can tell a lie if you ask me my where-abouts But I might talk that real if you ask me what I care about Rap and bitches, rap and bitches bitches And rappin', rappin' and bitches until all of it switches are swell, it's been two years since somebody asked me who I was I'm the greatest man, I said that before I knew I was That's whats important and what happened before this When me and my crew was all about this rapper from New Orleans Singing ""walking like a man, finger on the trigger I got money in my pocket, I'm a uptown nigga, ahh"" With fame on my mind, my girl on my nerves I was pushing myself to get something that I deserve That was back in the days, Acura days I was a cold dude, I'm getting back to my waysPeople always ask how I got my nice things Take my crown to the grave, I'ma underground king I bet we can make tonight the greatest story ever told Cause I'm down to spend whatever, lately i've been on a roll And I do it for the city, cause you know the city love it Nigga, do it for the city, cause you know the city love it Nigga, do it for the city, cause you know the city love itNigga, do it for the city, (UGK fuck these other niggas)Sometimes I need that romance, sometimes I need that pole dance Sometimes I need that stripper thats gon' tell me that she don't dance Tell me lies, make it sound good, make it sound good Do me like the women from my town would Leather with that woodgrain, Persian rugs on wood floors Talking all the good things, that's all I'm really good for Memphis Tennessee no, see I start to go deep back And Ridge Crest with my seat back with Yo Gotti and E-Mack And these niggas got them diamonds glowing in they mouth And they rockin' furs like it's snowing in the south And every pretty girl tell me that's the shit that she like So why am I in class if this is who I'm trying to be like So I drop out, lessons I was taught are quick to fade As soon I realize that turning papers in won't get me paid If I don't nothing I'mma ball I'm counting all day like a clock on the wall Yeah I need that, making major changes to the life I'm living I had no choice, I had to prove I made the right decisionsThat was back in the days, Acura days I was a cold dude, I'm getting back to my waysPeople always ask how I got my nice things Take my crown to the grave, I'm an underground king I bet we can make tonight the greatest story ever told Cause I'm down to spend whatever, lately i've been on a roll And I do it for the city, cause you know the city love it Nigga, do it for the city, cause you know the city love it Nigga, do it for the city, cause you know the city love it Nigga, do it for the city, (UGK fuck these other niggas)"
well-be-fine,take-care,"Yeah, never thoughts of suicide I'm too alive But I still treat it likes it's do or die Even though dying isn't in the plans, but neither was making it and here I am In the Presidential -- do you like your new room? Always presidential and tonight's no blue moon Since I saw Aaliyah's precious life go too soon, she deserve the credit for how I'm about to get it That's why I got a new dumb thing moving through the street Got a new condo, move it to the beach Heard Nicki just bought a brand new crib Goddamn man she's beauty and the beast (Lord) Seems like yesterday that I was up and coming Still so young that I ain't had enough of nothingThe fam here, the drink here, the girls here? Well fuck let's get it thenI'm trying to let go of the past Should we make this one a double? You ain't even gotta ask, Ahh Because it's hard to say no, say no Yeah it's hard to say noAre you down, are you down? Yeah, you all the way down, everytime Am I down, am I down? Yeah, I'm all the way down, We'll be fine Are you down, are you down? Yeah, you all the way down, everytime Am I down, am I down? Yeah, I'm all the way down, We'll be fineUsed to make us proud -- we had dreams of getting bigger man Loved you until now, but now I'm the nigga man You keep talking that, ""You was this and you had this"" And you deserve some fucking credit how did anyone forget it Got a show up in your city, yo girl is in the line And the line around the corner, it's my motherfucking time You should take it as a sign, man I got it right now I wouldn't doubt it cause these bitches all about it right now Let's be real about this shit, can I take you home? Or come to where you stay? Do you live on your own? I heard you got your ways, I never would have known She said, ""you're such a dog"", I said, ""you're such a bone."" I've been everywhere, where you know me from? These days women give it to me like they owe me one But they crave attention though they always saying, ""show me some"" But girl you ain't the only one that's trying to be the only one At least I admit that, if you get that, and you with that Then fuck let's get it thenI'm trying to let go of the past Should we make this one a double? You ain't even gotta ask, Ahh Because it's hard to say no, say no Yeah it's hard to say noAre you down, are you down? Yeah, you all the way down, everytime Am I down, am I down? Yeah, I'm all the way down, We'll be fine Are you down, are you down? Yeah, you all the way down, everytime Am I down, am I down? Yeah, I'm all the way down, We'll be fineYeah! Drizzy, yo turn nigga! Take Care of the business nigga (shine on these niggas) Give these niggas the business nigga! Kill spray anything in the way, nigga, fuck em, we don't love em! Yeah, it's just that Uptown gangsta shit Toronto, stand up for one of the realest Niggas Drizzy, with the realest flow, y'know? Toast to this gangsta shit, fellas OVO YMCMB (believe that!) Yeah, you understand me? Playing with these motherfucking millions like they ain't nothing Throwin' hundreds, rubber band stacks That YMCMB shit nigga; flashy lifestyle One Hundred"
make-me-proud,take-care,"I like a woman with a future and a past A little attitude problem all good, it'll make the shit last Don't make it too easy, girl, don't take it too fast Yeah, that's it right there That's it, do it just like that Only you can do it just like that And I love it when your hair still Wet cause you just took a shower Running on a treadmill and only eating salad Sound so smart like you graduated college Like you went to Yale but you probably went to Howard Knowing you, weekend in Miami trying to study by the pool Couple things due but you always get it done Might've been a time when I loved her too But you take that away and you've always been the one One, I wonder why the moon looks nice, girl Maybe it's just right for the night You said niggas coming on too strong, girl They want you in their life as a wife That's why you want to have no sex, why you want to protest Why you want to fight for your right Cause you don't love them boys Pussy run everything, fuck that noiseI know things get hard, but girl, you got it Girl, you got it, there you go Can't you tell by how they looking at you everywhere you go? Wondering what's on your mind, it must be hard to be that fine When all these muthafuckas wanna waste your time It's just amazing, girl, all I can say is (I'm so I'm so I'm so I'm so I'm so proud of you Everything's adding up, you've been through hell and back That's why you're bad as fuck and you......B-b-b-bet I am All of them bitches I'm badder than Mansions in Malibu, Babylon But I never mention everything I dabble in And I always ride slow when I'm straddling And my shit's so wet you gotta paddle in Gotta r-r-row, gotta row ya boat It's Pink Friday Records and OVO Done did the pop tour, I'm the realest still The best legal team so the deals is ill It's MAC, OPI, and a fragrance, too Apparel, I'm dominating every avenue Cobblestone, good view, little gravel too Gotta pay for the entourage travel too Cause I'm fl-fl-fly I'm flying high Ain't got time to talk, just hi and bye, bitchBut baby, if you ask me to take a break I'll give it all away, don't care what the people say I'll be a million, billion, trillion miles awayHe asked my sign, I said a Sag' I'm a star: sheriff badge What's the point if I'm guarding? Double-D up, hoes: Dolly PartonEverything's adding up, you've been through hell and back That's why you're bad as fuck and you know you are"
lord-knows,take-care,"All we wanted was opportunity Just Blaze, Lord Knows!It's your worst nightmare, it's my first night here And this girl right here, who knows what she knows? So I'm going through her phone if she go to the bathroom And her purse right there, I don't trust these hoes at all But that's just the result of me paying attention To all these women that think like men with the same intentions Talking strippers and models that try to gain attention Even a couple pornstars that I'm ashamed to mention But Weezy and Stunna my only role models Hefner and Jordan my only role models That's why I walk around with all this gold on And every time I run into these niggas they want no problems Bottom sixes and chains, and some bracelets and rings All of the little accents that make me a king I never hear the disses they try and point out to me But it's whatever if somebody wan' make it a thing I'm more concerned what niggas thinkin' about Christmas in August Do anything to buy gifts for they daughters Get some shake, a brick in the press And chef it like Mrs. Fields; they're making the cookie stretch I know it so well, I know the hustle so well Stunt like I'm working overnighters right by the motel Drug money outfit, record clean Spend it all on me and my fuckin' team Matchin' Rollies for real, matchin' Rovers for real Places they say they've been, we've actually going for real I'm really killin' shit, fuck all the jiggy rapping I'm going trigga happy just to see my niggas happy Mixtape legend, underground kings Lookin' for the right way to do the wrong things With my new bitch that's living in Palm Springs Young ass nigga, lifelong dreams They take the greats from the past and compare us I wonder if they'd ever survive in this era In a time where it's recreation To pull all your skeletons out the closet like Halloween decorations I know of all the things that I hear they be pokin' fun at Never the flow though, they know I run that Fuck you all, I claim that whenever I change rap forever, the game back together, yeah YM, I remain that forever In the same place my brother Wayne at forever I'm a descendent of either Marley or Hendrix I haven't figured it out cause my story is far from finished I'm hearing all of the jokes, I know that they tryna push me I know that showin' emotion don't ever mean I'm a pussy Know that I don't make music for niggas who don't get pussy So those are the ones I count on to diss me or overlook me Lord knows, Lord knows, I'm heavy, I got my weight up Roll this and boost your rate up, it's time that somebody paid up A lot of niggas came up off of a style that I made up But if all I hear is me, then who should I be afraid of? Bought a white Ghost, now shit is gettin' spooky Very, very scary, like shit you see in the movies In this bitch all drinks on the house like Snoopy That's why all the real soldiers salute meTrill nigga, for realYou know I love this YOLO, you only live onceI'm going so hard my nigga, I swear homie Everyday is another opportunity to reach that goalI fell in love with the pen, started fucking the ink The hustle's an art, I paint it what I would think Still allergic to broke, prescription straight to the paper Destined for greatness, but got a place in Jamaica Villa on the water with the wonderful views Only fat nigga in the sauna with Jews Went and got a yacht, I'm talkin' Carnival cruise And these niggas talkin' like hoes, they mad they not in my shoes It's the red bottom boss, came to buy the bar Every bi-week, shit, I'm bound to buy a car Murder-cedes Benz or that bubble double R Headlights flickin', lookin' like a fallin' star Everyday them hammers bang, whippin' yay like Anna Mae I run the game but the ladies think I'm running game Mink coats make your woman wanna fornicate Rozay and Drake, I'm gettin' cake, nothin' short of great"
doing-it-wrong,take-care,"When a good thing goes bad it's not the end of the world It's just the end of a world, that you had with one girl And she's the reason it happened, but she's overreacting And it's all because she don't want things to changeSo cry if you need to, but I can't stay to watch you That's the wrong thing to do Touch if you need to, but I can't stay to hold you That's the wrong thing to do Talk if you need to, but I can't stay to hear you That's the wrong thing to do Cause you'll say you love me, and I'll end up lying And say I love you tooBut I need someone different You know it, oh ho, you know it Oh ho, you know it, we both know it I need someone different You know it, oh ho, you know it Oh ho, you know it, we both know it Something's been missing You know it, oh ho, she knows it Oh ho, I know it, we all know it I need someone different (Oh ho, oh ho)We live in a generation of, not being in love, and not being together But we sure make it feel like we're together Cause we're scared to see each other with somebody elseSo cry if you need to, but I can't stay to watch you That's the wrong thing to do Touch if you need to, but I can't stay to hold you That's the wrong thing to do Talk if you need to, but I can't stay to hear you That's the wrong thing to do Cause you'll say you love me, and I'll end up lying And say I love you tooBut I need someone different You know it, oh ho, you know it Oh ho, you know it, we both know it I need someone different You know it, oh ho, you know it Oh ho, you know it, we both know it Something's been missing You know it, oh ho, she knows it Oh ho, I know it, we all know it I need someone different (Oh ho, oh ho)"
the-real-her,take-care,"People around you should really have nothing to say Me, I'm just proud of the fact that you've done it your way And the weekends here started it right, even if you only get part of it right Live for today, plan for tomorrow, party tonight, party tonight Dying to meet your girlfriends that you said you might bring If they're the ones that tell you that you do the right thingHouston girls, love the way it goes down Atlanta girls, love the way it goes down Vegas girls, love the way it goes downBut I gotta say, oh, baby, oh baby, why is this so familiar? Just met her, already feel like I know the real her You musta done this before, this can't be your first time We musta been here before, it's still fresh on my mind You got that shit that somebody would look for but won't find You musta done this before, this can't be your first timeThey keep telling me don't save you If I ignore all that advice, then something isn't right Then who will I complain to? But the weekend's here, started it right, even if I only get part of it right Live for today, plan for tomorrow, party tonight, party tonight You got your guards up, I do too, there's things we might discover Cause you got a past and I do too, we're perfect for each otherHouston girls, love the way it goes down Atlanta girls, love the way it goes down Vegas girls, love the way it goes downBut I gotta say, oh, baby, oh baby, why is this so familiar? Just met her, already feel like I know the real her You musta done this before, this can't be your first time We musta been here before, cause girl you're fresh on my mind You got that shit that somebody would look for but won't find You musta done this before, this can't be your first timeCause to her I'm just a rapper, and soon she'll have met another So if tonight's an accident, tomorrow we'll recover And I know I'm not supposed to judge a book by its cover I don't wanna be in the blind, but sometimes I Stevie Wonder About her, and she with it if I'm with it, and I'm with it I know what makes her smile, but I won't know what makes her different Or should I just be realistic? Lipstick on the glass I know this ain't your first, but it's better than your last.But I gotta say, oh, baby, oh baby, why is this so familiar? Just met her, already feel like I know the real her You musta done this before, this can't be your first time We musta been here before, cause girl you're fresh on my mind You got that shit that somebody would look for but won't find You musta done this before, this can't be your first timeShower her with dollar tips Shawty went and bought a whip Guarantee the city remember her name You owe that ho a scholarship All of them ain't all equipped And this saddens me, I see the pecking order Quote-unquote ""bad bitches"" work the whole floor Those that get laughed at sit off in the corner Like a lab rat nobody want her Niggas that are married don't wanna go home We look up to them, they wish they were us They want some new trim We lust for some trust Now the both of us are colorblind Cause the other side looks greener Which leaves your turf in the Boise state Can't see her play or the team, cuz Everybody has an addiction; mine happens to be you And those who say they don't Souls will later on say to them ""that ain't true"" All of them will have an opinion But y'all know what you can do with them But if you unsure, I'll take you on tour To a place I can stick that in Well, sitting here sad as hell Listening to Adele, I feel you baby Someone like you, more like someone unlike you Or someone that's familiar maybe And I can tell that she wants a baby And I can yell ""Girl, that shit crazy!"" Oh what the hell? Nope, can't be lazy Please be careful: bitches got the rabies"
look-what-youve-done,take-care,"It's like '09 in your basement and I'm in love with Nebby And I still love her but it fell through because I wasn't ready And your back hurt, and your neck hurt, and you smoking heavy And I sit next to you, and I lecture you 'cause those are deadly And then you ask shit and we argue about spending money on bullshit And you tell me I'm just like my father, my one button, you push it Now it's ""Fuck you, I hate you, I'll move out in a heartbeat"" And I leave out and you call me, tell me that your sorry You love me, and I love you, and your heart hurts, mine does too And it's just words and they cut deep but it's our world, it's just us two I see painkillers on the kitchen counter, I hate to see, it all hurt so bad But maybe I wouldn't have worked as hard If you were healthy and it weren't so bad Uh, maybe I should walk up the street, and try and get a job at the bank Cause leave it up to me, J, and Neeks, we're probably gonna end up robbing a bank Then Wayne calls on my phone, conversation wasn't that long Gets me a flight to Houston in the morning Oh it's my time, yeah, it's on He's thinking of signing me, I come home We make a mixtape with seventeen songs I almost get a Grammy off of that thing They love your son and that boy gone You get the operation you dreamed of And I finally send you to Rome I get to make good on my promise It all worked out girl, we shoulda known Cause you deserve itThis shit real, should I pinch you? After all the things that we been through, I got you Look what you've done, look what you've done Look what you've done for me now You know that I was gonna be somethingWe stressed out, and you need some, I got youLook what you've done, look what you've doneIt's like '06 in your backyard and I'm in love with Jade And I'm still in love, just when it's that real, it doesn't fade And my father living in Memphis now -- he can't come this way Over some minor charges and child support that just wasn't paid Damn, boo-hoo, sad story, black American dad story Know that I'm your sister's kid but That still don't explain the love that you have for me I remember sneaking in your pool after school dances Damn your house feel like the Hamptons For all of my summer romances I never really had no one like you man this all new, shit Made the world I knew bigger, changed the way that I viewed it Had all this fighting going on at the crib You calm me down when I lose it Told you I think I'm done acting, I'm more in touch with the music You said either way I'll be a star, I could go so far Talked to me, to you got to me you You tossed the keys and loaned me your car Yeah, just a young kid in a drop top Lexus hopin' that I don't get arrested Just another kid goin' through life So worried that I won't be accepted But I could do anything, you said that, and you meant that You took me places, you spent that, they said no, we went backChecks bounce but we bounce backI put all the money in your accounts back And I thank you, I don't know whereI'd really be without that, it worked out manYou deserve it This shit real, should I pinch you? After all the things that we been through, I got you Look what you've done, look what you've done Look what you've done for me now You know that I was gonna be something We stressed out, and you need some, I got you Look what you've done, look what you've done"
hyfr,take-care,"Gotta do what I gotta doAll my exes live in Texas like I'm George Strait Or they go to Georgia State where, Tuition is handled by some random nigga that live in Atlanta That she only see when she feels obligated Admitted it to me the first time we dated But she was no angel, and we never waited I took her for sushi, she wanted to fuck So we took it to go, told them don't even plate it And we never talk too much after I blew up Just only ""hello"" or ""happy belated"" And I think I text her and told her I made it And that's when she text me and told me she prayed it And that's when I text her and told her I love her Then right after texted and told her I'm faded She asked What have I learned since getting richer I learned working with the negatives could make for better pictures I learned Hennessy and enemies is one hell of a mixture Even though it's fucked up, girl, I'm still fucking wit' ya Damn, is it the fall Time for me to revisit the past It's women to call There's albums to drop, there's liquor involved There's stories to tell, we been through it all Interviews are like confessions Get the fuck up out my dressing room, confusing me with questions likeDo you love this shit? Are you high right now? Do you ever get nervous? Are you single? I heard you fucked your girl, is it true? You getting money? You think them niggas you with is with you? And I say(And I say) Hell yeah Hell yeah, hell yeah Fuckin' right Fuckin' right, all right (And we say) Hell yeah Hell yeah, hell yeah Fuckin' right Fuckin' right, alrightSo much for being optimistic They say love is in the air, so I Hold my breath until my face turn purple, keep a few bad bitches in my circle My nuts hang like ain't no curfew, bitch, if you wave, then I will surf you I flew jet, she flew commercial but we still met later that night After my session, she came over, I was aggressive and she was sober I gave her pills, she started confessing and started undressing and ask me to hold her And so I did, but that was last month and now she's texting me asking for closure Damn, she say this shit gon' catch up to me, I keep tissue paper We eat each other whenever we at the dinner table She say she hate that she love me and she wish I was average Shit, sometimes I wish the same and I wish she wasn't married Promises, I hope I never break 'em Met a female dragon, had a fire conversation But, interviews are like confessions Get the fuck up out my bedroom confusing me with questions likeDo you love this shit? Are you high right now? Do you ever get nervous? Are you single? I heard you fucked your girl, is it true? You getting money? You think them niggas you with is with you? And I say(And I say) Hell yeah Hell yeah, hell yeah Fuckin' right Fuckin' right, all right (And we say) Hell yeah Hell yeah, hell yeah Fuckin' right Fuckin' right, alright"
